no,candidate,constituency,party,cases,education,total_assets,liabilities
2815,Raghunath,AKBARPUR,IND,0,Post Graduate,210000,0
2816,Raghuraj,BHADOHI,Bharatiya Eklavya Party,0,8th Pass,176919,0
2817,Raghuraj Pratap Singh,SHIKARPUR,IND,0,Literate,3983000,0
2818,Raghuraj Pratap Singh,KUNDA,IND,1,Graduate,142584083,0
2819,Raghuveer Singh,JASWANTNAGAR,IND,0,Literate,7180000,0
2820,Raghuveer Singh Gangwar,AMRITPUR,Akhil Bharat Hindu Mahasabha,0,12th Pass,1358702,0
2821,Raghuvir Singh,TIRWA,IND,0,Not Given,473000,0
2822,Raghuwansh,TILOI,IND,0,8th Pass,4229000,400000
2823,Raghvedra Singh,ALIGANJ,IND,3,Graduate,1450000,0
2824,Raghvender Singh Verma,RUDAULI,IND,0,Graduate,4096000,0
2825,Raghvendra Kumar Gautam,BHARTHANA (SC),BSP,0,Post Graduate,5415559,0
2826,Raghvendra Pratap,SISWA,BSP,2,Graduate,104386275,0
2827,Raghvendra Pratap Singh,DOMARIYAGANJ,BJP,1,Graduate,58893920,455515
2828,Raghvendra Singh,SIRSAGANJ,BSP,4,Graduate,56759519,2905942
2829,Raghvendra Singh Chauhan,GOLA GOKRANNATH,Rashtriya Lokshakti Party,0,Graduate,1435663,0
2830,Ragini Singh,TILHAR,IND,0,Doctorate,46239000,4700000
2831,Rahat Ali,KITHORE,IND,0,10th Pass,6038157,0
2832,Rahat Ali,THANA BHAWAN,IND,0,Literate,6820000,0
2833,Rahul,PATIYALI,IND,0,Graduate,818000,0
2834,Rahul,TIRWA,Jan Adhikar Manch,0,12th Pass,1618100,0
2835,Rahul,ROBERTSGANJ,NCP,0,Graduate,200000,0
2836,Rahul,SHAHGANJ,IND,1,Post Graduate,890904,598131
2837,Rahul Kumar,TUNDLA (SC),IND,0,10th Pass,281346,0
2838,Rahul Kumar,BIJNOR,IND,0,12th Pass,166000,0
2839,Rahul Pandey,AMANPUR,Mahan Dal,0,Post Graduate,27529209,963388
2840,Rahul Prakash,CHHANBEY (SC),Apna Dal (Soneylal),0,Graduate Professional,5092173,0
2841,Rahul Rai,JHANSI NAGAR,INC,2,Graduate,21765289,4952017
2842,Rahul Sharma,KALPI,RLD,2,Graduate Professional,448000,0
2843,Rahul Shukla,MEHNAUN,SP,0,Graduate,3200913,0
2844,Rahul Singh,BIJNOR,RLD,0,Graduate,41341116,2475000
2845,Rain,BARHAJ,Manuvadi Party,0,Graduate,476500,0
2846,Rais Ahmad Khan,ALLAHABAD SOUTH,Parivartan Samaj Party,2,Graduate,18285000,0
2847,Raj Bahadur,GOPAMAU (SC),Bahujan Mukti Party,0,10th Pass,19456850,5100000
2848,Raj Bahadur,SALON (SC),IND,1,8th Pass,7447000,450000
2849,Raj Bahadur,KAISERGANJ,RLD,0,Graduate Professional,121000,0
2850,Raj Bala,MILAK (SC),BJP,0,Post Graduate,117136030,15469786
2851,Raj Bali Jaisal,KORAON (SC),BSP,0,Graduate,16941294,1858000
2852,Raj Beti,ETMADPUR,SP,0,8th Pass,67448305,28710000
2853,Raj Devi,SHAHABAD,Bahujan Maha Party,0,Illiterate,76218,0
2854,Raj Katheria,KANNAUJ (SC),IND,0,Graduate Professional,445000,0
2855,Raj Kishor,MUZAFFAR NAGAR,IND,0,10th Pass,5062000,0
2856,Raj Kumar,PHAPHAMAU,IND,2,12th Pass,28306696,0
2857,Raj Kumar,KATRA,IND,0,Literate,368000,0
2858,Raj Kumar,KHAIR (SC),Rashtriya mahan Gantantra Party,0,10th Pass,8699000,0
2859,Raj Kumar,HASTINAPUR (SC),Rashtriya Kisan Majdoor Party,0,Post Graduate,5000,0
2860,Raj Kumar,ALAPUR (SC),Rashtriya mahan Gantantra Party,0,Post Graduate,22045000,0
2861,Raj Kumar Agrawal,SANDILA,BJP,0,8th Pass,38813226,227234
2862,Raj Kumar Jindal,SHAHABAD,Bahujan Mukti Party,0,12th Pass,1614360,0
2863,Raj Kumar Nishad,PHARENDA,Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate,8565500,2000000
2864,Raj Kumar Rawat,GOVERDHAN,BSP,0,Graduate,54093766,808052
2865,Raj Kumar Srivastava,ALLAHABAD WEST,Vikas Party,0,5th Pass,1005702,0
2866,Raj Kumar Verma,RUDHAULI,"Proutist Bloc, India",0,12th Pass,4871000,0
2867,Raj Luxmi Verma,RAM NAGAR,Peace Party,1,Graduate Professional,9036799,0
2868,Raj Pal,AONLA,Bharatiya Subhash Sena,0,8th Pass,103500,110000
2869,Raj Prakash Singh,SAWAYAZPUR,Rashtriya Shahri Vikas Party,0,Graduate,4268000,0
2870,Raj Prasad,SADAR,BSP,0,Post Graduate,36385013,325000
2871,Raj Shekhar,HARRAIYA,IND,1,Post Graduate,62480581,27500000
2872,Raja Bux Singh,HARDOI,BJP,1,Graduate,22127000,500000
2873,Raja Ram,MENHDAWAL,IND,0,Graduate,2664000,0
2874,Raja Rudravan Singh,KALPI,Sarv Sambhaav Party,0,12th Pass,1033000,0
2875,Rajan Yadav Urf Arthi Baba (M B A ),CHAURI-CHAURA,IND,0,Post Graduate,12300,0
2876,Rajani Tiwari,SHAHABAD,BJP,0,Graduate,27712067,1920000
2877,Rajanish,KHADDA,IND,0,10th Pass,130000,0
2878,Rajaram,MARIHAN,IND,0,Literate,4658000,0
2879,Rajaram,HATHRAS (SC),Apni Zindgi Apna Dal,0,Graduate,451000,0
2880,Rajaram,MAHOLI,IND,0,8th Pass,1620244,0
2881,Rajaram,ETAH,CPI(M),0,Graduate,5398558,0
2882,Rajaram Nishad,AKBARPUR,CPI(M),0,Post Graduate,13466000,0
2883,Rajaram Pal,MAHARAJPUR,INC,1,Graduate Professional,15903018,3700000
2884,Rajaram Verma,BHARTHANA (SC),Jan Adhikar Manch,0,12th Pass,2197000,0
2885,Rajaram Yadav,GOPALPUR,Bahujan Mukti Party,0,Not Given,416753,0
2886,Rajbahadur,ETAWAH,Rashtriya Shoshit Samaj Party,0,Graduate,12129000,0
2887,Rajbahadur,BABERU,IND,0,Graduate Professional,6939634,0
2888,Rajbala,MALIHABAD (SC),SP,0,Graduate,9010000,0
2889,Rajbala,CHHAPRAULI,BSP,2,5th Pass,3576918,0
2890,Rajdutt Mishra,COLONELGANJ,IND,0,8th Pass,2985000,350000
2891,Rajeev,BABINA,BJP,0,10th Pass,65312895,2590863
2892,Rajeev,AMRITPUR,IND,1,Graduate,6682200,0
2893,Rajeev,BANSDIH,IND,1,12th Pass,694532,134400
2894,Rajeev Kumar,DHANAURA (SC),BJP,0,Post Graduate,10834395,2412573
2895,Rajeev Kumar Dubey,MORADABAD NAGAR,AARAKSHAN VIRODHI PARTY,0,Others,12902000,0
2896,Rajeev Kumar Garg,MEERUT,IND,0,Post Graduate,8609988,2886909
2897,Rajeev Kumar Pandey,RUDHAULI,Peace Party,0,Post Graduate,1068556,0
2898,Rajeev Kumar Saxena,SHAHJAHANPUR,Sarv Sambhaav Party,3,12th Pass,28800000,0
2899,Rajeev Kumar Singh,DARIYABAD,SP,0,10th Pass,24384975,1154890
2900,Rajeev Kumar Singh,RAMPUR KARKHANA,BSP,9,Graduate,14000000,1200000
2901,Rajeev Sharma,SAHIBABAD,IND,0,Graduate,19449367,8001003
2902,Rajeev Singh Urf Babbu Bhaiya,DATAGANJ,BJP,0,Post Graduate,144506865,26419815
2903,Rajeev Srivastava,LUCKNOW CENTRAL,BSP,0,Post Graduate,107165327,1728029
2904,Rajendera,PHARENDA,Peace Party,0,Graduate,37809785,2000000
2905,Rajendra,MUGHALSARAI,Moulik Adhikar Party,0,12th Pass,3450000,0
2906,Rajendra,JANGIPUR,IND,0,Post Graduate,5581000,0
2907,Rajendra,MUHAMMADABAD-GOHNA (SC),BSP,2,Graduate,10647000,0
2908,Rajendra,PADRAUNA,Peace Party,2,12th Pass,7497500,593406
2909,Rajendra,SHRAWASTI,Bharatiya Subhash Sena,0,Literate,234300,0
2910,Rajendra,SAIYADRAJA,Jan Adhikar Party,0,10th Pass,1192233,0
2911,Rajendra,GHATAMPUR (SC),Nirbal Indian Shoshit Hamara Aam Dal,1,Not Given,4002000,800000
2912,Rajendra,SHEKHUPUR,Bharatiya Subhash Sena,0,Illiterate,575000,0
2913,Rajendra,BIKAPUR,IND,3,8th Pass,24997471,1916987
2914,Rajendra,KUNDARKI,Jan Shakti Dal,0,Literate,3703200,6075000
2915,Rajendra Kumar,ALLAHABAD WEST,IND,0,Graduate,254000,0
2916,Rajendra Kumar,NARAINI (SC),IND,0,12th Pass,848000,0
2917,Rajendra Kumar,IGLAS (SC),BSP,1,Graduate,20787906,600000
2918,Rajendra Kumar,BANGERMAU,Bhartiya Shakti Chetna Party,0,Graduate,11803,0
2919,Rajendra Kumar,LALITPUR,Jan Adhikar Party,0,8th Pass,1766000,0
2920,Rajendra Kumar Dubey,VISHWANATH GANJ,Lok Gathbandhan Party,0,12th Pass,1580343,0
2921,Rajendra Kumar Gupta,VARANASI NORTH,Rashtriya Vikas Manch Party,0,Graduate,2563000,0
2922,Rajendra Pal,GARAUTHA,Jan Adhikar Manch,0,Post Graduate,2330000,0
2923,Rajendra Pal,BHOJIPURA,Bharatiya Subhash Sena,0,Graduate,4755800,270000
2924,Rajendra Prasad,DADRAUL,IND,0,10th Pass,1024000,0
2925,Rajendra Prasad,AMETHI,IND,0,Literate,1219000,0
2926,Rajendra Prasad,MANKAPUR (SC),IND,0,Post Graduate,102000,0
2927,Rajendra Prasad,GHORAWAL,RLD,2,12th Pass,4630000,140000
2928,Rajendra Prasad,MARIYAHU,IND,0,Literate,432517,0
2929,Rajendra Prasad,MARIHAN,IND,0,Literate,1542000,0
2930,Rajendra Prasad Chaudhary,RUDHAULI,BSP,0,Post Graduate,37771191,2089628
2931,Rajendra Prasad Gupta,BAREILLY CANTT.,BSP,1,12th Pass,37127694,7188220
2932,Rajendra Prasad Yadav,BAKSHI KAA TALAB,Lok Dal,4,Graduate,55052283,0
2933,Rajendra Pratap Singh Urf Moti,PATTI,BJP,0,Graduate Professional,94853871,3094040
2934,Rajendra Singh,FATEHABAD,IND,0,10th Pass,6844000,0
2935,Rajendra Singh,FATEHABAD,SP,0,Post Graduate,27569968,5243833
2936,Rajendra Singh,BILSI,IND,0,5th Pass,200000,0
2937,Rajendra Singh,HASANPUR,IND,0,12th Pass,4963000,0
2938,Rajendra Singh,KARACHHANA,RLD,0,12th Pass,534000,0
2939,Rajendra Singh,PURWA,Jan Adhikar Manch,6,Graduate,25496956,479165
2940,Rajendra Singh,DATAGANJ,IND,0,12th Pass,6542500,500000
2941,Rajesh,KARACHHANA,Bahujan Mukti Party,0,10th Pass,112718,0
2942,Rajesh,KHAJANI (SC),Ambedkar Samaj Party,0,Post Graduate,55000,0
2943,Rajesh,SAGRI,Bahujan Mukti Party,0,Graduate Professional,1377611,0
2944,Rajesh,MAJHAWAN,IND,0,8th Pass,534258,0
2945,Rajesh,AJAGARA (SC),RLD,0,Graduate Professional,2355000,750000
2946,Rajesh,MARIYAHU,IND,1,Graduate Professional,3082709,0
2947,Rajesh Agarwal,BAREILLY CANTT.,BJP,0,Post Graduate,34878384,0
2948,Rajesh Giri,DHOLANA,Sarvodaya Bharat Party,0,10th Pass,1030000,755895
2949,Rajesh Kumar,KASTA (SC),BSP,1,12th Pass,27427980,0
2950,Rajesh Kumar,BARA (SC),Lok Dal,0,10th Pass,5127513,0
2951,Rajesh Kumar,ETAH,IND,0,8th Pass,4686643,674500
2952,Rajesh Kumar,RAE BARELI,Bahujan Mukti Party,2,10th Pass,4419300,92200
2953,Rajesh Kumar,KATRA BAZAR,IND,0,Graduate,57000,0
2954,Rajesh Kumar,BANGERMAU,Hindustan Kranti Dal,0,Graduate Professional,727000,0
2955,Rajesh Kumar,ETAH,Voters Party International,0,Doctorate,4047000,0
2956,Rajesh Kumar,COLONELGANJ,IND,0,12th Pass,3856679,0
2957,Rajesh Kumar,BHADOHI,Pragatisheel Manav Samaj Party,0,12th Pass,1253243,0
2958,Rajesh Kumar,GYANPUR,BSP,0,Post Graduate,125642974,4200000
2959,Rajesh Kumar,AKBARPUR,Janvadi Party(Socialist),0,Graduate Professional,20000,0
2960,Rajesh Kumar,GAURA,IND,2,Graduate,620887,0
2961,Rajesh Kumar,PANIYRA,IND,0,Post Graduate,75000,0
2962,Rajesh Kumar,SAHAJANWA,Bahujan Mukti Party,0,Graduate Professional,108700,0
2963,Rajesh Kumar Chauhan,ZAHOORABAD,Naitik Party,0,12th Pass,3645000,0
2964,Rajesh Kumar Gautam,KADIPUR (SC),BJP,0,Post Graduate,9858666,2350000
2965,Rajesh Kumar Kanaujia,HARDOI,IND,0,10th Pass,140000,0
2966,Rajesh Kumar Kashyap,ETMADPUR,Nirbal Indian Shoshit Hamara Aam Dal,0,10th Pass,3563602,6000000
2967,Rajesh Kumar Mishra,BITHARI CHAINPUR,BJP,4,8th Pass,189558870,926730
2968,Rajesh Kumar Pandey,MAJHAWAN,Pragatisheel Manav Samaj Party,0,Graduate,1786000,0
2969,Rajesh Kumar Rathaur,LAHARPUR,Bharatiya Subhash Sena,0,Literate,1626500,0
2970,"Rajesh Kumar Sahu, Raju",HUSAINGANJ,IND,0,Literate,900148,0
2971,Rajesh Kumar Singh,CHHIBRAMAU,Bharatiya Subhash Sena,0,12th Pass,1056000,0
2972,Rajesh Kumar Singh,JALALPUR,BJP,0,Doctorate,6051567,0
2973,Rajesh Kumar Singh (Chunnu),KANTH,BJP,0,12th Pass,72357520,3800000
2974,Rajesh Kumar Verma,JALALPUR,Bahujan Mukti Party,0,10th Pass,4735600,0
2975,Rajesh Kumar Yadav,BARHAJ,Mahakranti Dal,0,Graduate,234000,0
2976,Rajesh Kushwaha,GHAZIPUR,SP,1,Graduate Professional,23663418,1882514
2977,Rajesh Mishra,VARANASI SOUTH,INC,1,Doctorate,14892575,3034266
2978,Rajesh Mohan,MEERUT,IND,0,Doctorate,2744734,813358
2979,Rajesh Pandey,GORAKHPUR RURAL,BSP,2,Graduate,12830111,4319359
2980,Rajesh Prajapati,AMETHI,Jan Adhikar Party,0,Graduate Professional,170000,0
2981,Rajesh Prasad Saini,PADRAUNA,IND,0,10th Pass,1403000,1000000
2982,Rajesh Pratap Rao,KUSHINAGAR,BSP,0,Others,521000,0
2983,Rajesh Raj Jeevan,HATHRAS (SC),INC,0,Post Graduate,150953,0
2984,Rajesh Rajbhar,BANSDIH,Jan Adhikar Party,0,12th Pass,2348000,980000
2985,Rajesh Rao,KHAGA (SC),RLD,0,12th Pass,2153303,0
2986,Rajesh Tripathi,CHILLUPAR,BJP,4,Graduate,10102828,780000
2987,Rajesh Yadav,KATRA,SP,6,Graduate Professional,55088232,1898752
2988,Rajesh Yadav,TILHAR,Sarv Sambhaav Party,0,8th Pass,20977100,950000
2989,Rajesh Yadav,ALLAHABAD NORTH,IND,0,Graduate,3201075,0
2990,Rajeshvari,GOPAMAU (SC),SP,0,12th Pass,19455000,0
2991,Rajeshwar Mishra,TULSIPUR,IND,4,Graduate,310157,0
2992,Rajeshwari,BALAMAU (SC),RLD,0,Literate,1830000,0
2993,Rajeshwari Prasad,UTRAULA,IND,0,10th Pass,7229401,0
2994,Rajeshwer Prasad,MAJHAWAN,Rashtriya Apna Dal,0,10th Pass,17260000,0
2995,Rajiv Gumber,SAHARANPUR NAGAR,BJP,3,12th Pass,7169578,150000
2996,Rajiv Kiran,SAIDPUR (SC),BSP,0,Post Graduate,11033000,680000
2997,Rajiv Kumar,MIRZAPUR,IND,0,Graduate,695285,0
2998,Rajiv Kumar Agarwal,NAJIBABAD,BJP,0,Post Graduate,14757253,1738467
2999,Rajiv Kumar Singh,KOIL,Samajwadi Janata Party (ChandraShekhar),0,Post Graduate,122000,0
3000,Rajiv Saini,NAKUR,Bahujan Mukti Party,0,Graduate,12120000,3000000
3001,Rajkamal Bhaskar,ZAIDPUR (SC),Lok Dal,0,12th Pass,60000,0
3002,Rajkaran,NARAINI (SC),BJP,1,Post Graduate,3320750,150000
3003,Rajkishor Singh,HARRAIYA,SP,1,Graduate,49491003,0
3004,Rajkishor Tiwari,FIROZABAD,IND,0,5th Pass,7150737,0
3005,Rajkumar,BARA (SC),IND,0,10th Pass,180000,0
3006,Rajkumar,SYANA,SHS,0,10th Pass,101500,0
3007,Rajkumar,LAHARPUR,RLD,0,Literate,828000,0
3008,Rajkumar,AYAH SHAH,IND,0,Illiterate,993214,0
3009,Rajkumar,DATAGANJ,Bhartiya Bhaichara Party,0,Literate,45000,0
3010,Rajkumar,DADRI,IND,0,12th Pass,5515000,0
3011,Rajkumar,ALIGARH,Swatantra Jantaraj Party,0,12th Pass,403000,0
3012,Rajkumar,VISHWANATH GANJ,NCP,0,5th Pass,160000,0
3013,Rajkumar,KHAJANI (SC),BSP,0,Graduate,15363715,2700000
3014,Rajkumar,FAZILNAGAR,IND,0,12th Pass,1487000,0
3015,Rajkumar,NIZAMABAD,IND,0,10th Pass,1500598,0
3016,Rajkumar Alias Raju Yadav,MAINPURI,SP,2,12th Pass,176092187,2997527
3017,Rajkumar Lodhi,FATEHPUR,IND,0,Graduate,85000,0
3018,Rajkumar Singh,AGRA CANTT. (SC),Jan Adhikar Manch,0,Graduate,1460000,800000
3019,Rajkumar Tulsyan,KHADDA,IND,10,12th Pass,25261370,0
3020,Rajkumari,JALESAR (SC),Rashtriya Kranti Party,0,Doctorate,9463990,0
3021,Rajmangal,FAZILNAGAR,Bahujan Mukti Party,3,12th Pass,5776000,300000
3022,Rajmani,JALALPUR,IND,0,Post Graduate,760000,280000
3023,Rajmani,ALAPUR (SC),Bahujan Mukti Party,0,8th Pass,1710757,800000
3024,Rajmani,KORAON (SC),BJP,0,Post Graduate,734402,60000
3025,Rajnarain,SIKANDERPUR,BSP,0,12th Pass,92751338,5596433
3026,Rajneesh,POWAYAN (SC),Rashtriya Janadhar Party,0,10th Pass,1170000,0
3027,Rajnesh Chauhan,GANGOH,RLD,0,Post Graduate,6219000,500000
3028,Rajnet Yadav,NIZAMABAD,IND,4,Post Graduate,69468,0
3029,Rajni,DIBIYAPUR,IND,0,5th Pass,642000,0
3030,Rajni Kant,KUSHINAGAR,BJP,0,Post Graduate,2262504,0
3031,Rajnikant Dubey,LUCKNOW CANTT.,Samaj Sevak Party,0,Graduate Professional,3492000,0
3032,Rajpal,NOORPUR,Akhand Samaj Party,0,8th Pass,2181000,0
3033,Rajpal Singh,NAKUR,IND,0,5th Pass,7843900,0
3034,Rajpal Singh,HAPUR,IND,0,12th Pass,1303107,0
3035,Rajpal Singh,THAKURDWARA,BJP,1,Post Graduate,28863074,2890000
3036,Rajpal Singh,SAHASWAN,Bharatiya Subhash Sena,0,10th Pass,262500,38000
3037,Rajrani,PILIBHIT,IND,0,12th Pass,532500,0
3038,Rajshekhar Sengar,SIKANDRA RAO,IND,0,10th Pass,1619838,0
3039,Raju,CHHATA,IND,0,8th Pass,375000,0
3040,Raju,DEORIA,Moderate Party,1,Literate,431500,0
3041,Raju,PHEPHANA,IND,0,Literate,6300000,60000
3042,Raju,PADRAUNA,IND,0,Literate,819100,0
3043,Raju Khan,TIRWA,Sanyukt Vikas Party,0,10th Pass,6890500,0
3044,Raju Pal,GOVINDNAGAR,RLD,0,Graduate Professional,1988121,1000000
3045,Raju Sharma,MADHUBAN,Most Backward Classes Of India,0,Not Given,90000,0
3046,Rajveer Diler,IGLAS (SC),BJP,0,8th Pass,10179404,0
3047,Rajveer Sharma,DATAGANJ,Bharatiya Subhash Sena,0,12th Pass,2370000,0
3048,Rajveer Singh,AGRA CANTT. (SC),IND,0,10th Pass,70000,0
3049,Rajveer Singh,KHERAGARH,Ambedkarite Party of India,0,10th Pass,1545000,0
3050,Rajvir Singh,KHURJA (SC),Rashtriya Kisan Majdoor Party,1,Post Graduate,2427000,850000
3051,Rajwant Singh,BAHARAICH,SHS,1,Graduate Professional,2257012,0
3052,Rakendra Kumar,JAGDISHPUR (SC),IND,0,Graduate,73500,0
3053,Rakesh,HARCHANDPUR,IND,0,8th Pass,1503000,0
3054,Rakesh,FATEHPUR SIKRI,IND,0,8th Pass,277205,0
3055,Rakesh,SITAPUR,IND,0,8th Pass,6562,0
3056,Rakesh,HUSAINGANJ,CPI,0,5th Pass,1811000,0
3057,Rakesh,SAHIBABAD,IND,0,Graduate,225161,0
3058,Rakesh,CHAURI-CHAURA,IND,0,Post Graduate,0,0
3059,Rakesh,MIRZAPUR,Rashtriya Janshanti Party,0,Literate,733442,0
3060,Rakesh,PANIYRA,Bahujan Mukti Party,0,10th Pass,112000,0
3061,Rakesh,DEORIA,CPI,0,Post Graduate,1782046,0
3062,Rakesh,ITWA,Bahujan Mukti Party,0,12th Pass,566416,0
3063,Rakesh Babu,TUNDLA (SC),BSP,0,Post Graduate,11387905,0
3064,Rakesh Kumar,VISHWANATH GANJ,IND,1,12th Pass,61707492,21759910
3065,Rakesh Kumar,VISHWANATH GANJ,RLD,0,Graduate,1273500,0
3066,Rakesh Kumar,MOHANLALGANJ (SC),Nagrik Ekta Party,0,Graduate,7134800,0
3067,Rakesh Kumar,TILHAR,IND,0,10th Pass,185000,0
3068,Rakesh Kumar,SULTANPUR,Most Backward Classes Of India,0,12th Pass,269000,0
3069,Rakesh Kumar,AGRA CANTT. (SC),Peace Party,0,Literate,86000,0
3070,Rakesh Kumar,HARDOI,IND,0,12th Pass,731000,0
3071,Rakesh Kumar,POWAYAN (SC),Lok Dal,0,8th Pass,270000,0
3072,Rakesh Kumar,MEHRONI (SC),Jan Adhikar Party,0,Graduate Professional,2249000,0
3073,Rakesh Kumar,BAHERI,Rashtriya Kisan Majdoor Party,0,Graduate,2435207,80000
3074,Rakesh Kumar,KADIPUR (SC),Bahujan Mukti Party,0,10th Pass,30000,0
3075,Rakesh Kumar,LAHARPUR,IND,0,Graduate,1731000,60000
3076,Rakesh Kumar,CHAMRAUA,Jan Seva Sahayak Party,0,Graduate,226000,0
3077,Rakesh Kumar,SITAPUR,BJP,1,12th Pass,31282000,7216023
3078,Rakesh Kumar,SISWA,IND,0,Others,47590700,4670000
3079,Rakesh Kumar Goswami,MAHOBA,BJP,0,Graduate Professional,49213372,0
3080,Rakesh Kumar Gupta,PALIA,IND,0,10th Pass,9078506,894
3082,Rakesh Kumar Kaushik,GOVERDHAN,Lok Dal,0,12th Pass,345000,0
3083,Rakesh Kumar Maurya,KHAIR (SC),BSP,0,12th Pass,57352167,4845891
3084,Rakesh Kumar Sen,JHANSI NAGAR,Parivartan Samaj Party,1,Graduate,5535000,700000
3085,Rakesh Kumar Sharma,MUZAFFAR NAGAR,BSP,0,Graduate,4585401,2422359
3086,Rakesh Kumar Singh,MENHDAWAL,BJP,1,Others,67319377,450000
3087,Rakesh Kumar Verma,VISHWANATH GANJ,Apna Dal (Soneylal),0,Graduate Professional,72731724,600000
3088,Rakesh S/O Kumarpal,SIKANDRA RAO,IND,0,10th Pass,3286847,0
3089,Rakesh S/O Shyamlal,SIKANDRA RAO,IND,0,12th Pass,1177792,75000
3090,Rakesh Singh,HARCHANDPUR,INC,0,Graduate,276128756,12824656
3091,Rakesh Singh,MAHOBA,IND,0,8th Pass,5920000,0
3092,Rakesh Singh Rana,SIKANDRA RAO,IND,3,Doctorate,48224284,2297873
3093,Rakesh Tripathi,VARANASI SOUTH,BSP,0,Graduate,114539110,31052560
3094,Rakesh Verma,DEOBAND,Bhartiya Tarak Samaj Party,0,8th Pass,289092,0
3095,Rakhi Rani,AONLA,IND,0,Not Given,0,0
3096,Raksharam Pathak,GONDA,IND,0,12th Pass,15694,0
3097,Ram Abhilakh,BHINGA,IND,2,12th Pass,6256000,0
3098,Ram Achal,GAURIGANJ,IND,0,8th Pass,1095500,0
3099,Ram Achal Rajbhar,AKBARPUR,BSP,0,Graduate,22055532,0
3100,Ram Ajor,KHALILABAD,IND,0,5th Pass,718000,0
3101,Ram Asarey,RANIGANJ,Pragatisheel Samaj Party,0,10th Pass,508900,0
3102,Ram Ashish,MAU,IND,0,Graduate,6445000,0
3103,Ram Asish,MAHARAJGANJ (SC),IND,0,12th Pass,582849,0
3104,Ram Asrey Sharma,MODI NAGAR,SP,2,12th Pass,2394772,0
3105,Ram Autar,BANDA,Bahujan Mukti Party,0,Post Graduate,870000,0
3106,Ram Autar,ZAHOORABAD,IND,0,Literate,145070,0
3107,Ram Avatar,BILHAUR (SC),Lok Dal,0,Post Graduate,9397310,0
3108,Ram Avtaar,GAURA,IND,3,12th Pass,645706,0
3109,Ram Bahadur,SARENI,Jan Adhikar Party,0,Graduate,39152000,0
3110,Ram Bahadur,MOHANLALGANJ (SC),BSP,0,Post Graduate,95710000,0
3111,Ram Baksh Rawat,SIDHAULI (SC),BJP,0,Graduate Professional,16609896,2130000
3112,Ram Baran,HARCHANDPUR,Jan Adhikar Manch,0,10th Pass,5261000,0
3113,Ram Baran,SAFIPUR (SC),BSP,1,Graduate,18779585,1000000
3114,Ram Bhawan,GAURIGANJ,Manvadhikar National Party,0,12th Pass,1400000,0
3115,Ram Bilas,DOMARIYAGANJ,IND,0,10th Pass,1340000,0
3116,Ram Bishun Azad,MANKAPUR (SC),SP,0,Graduate Professional,17230989,1200000
3117,Ram Brijesh,ALIGANJ,IND,4,Post Graduate,9130000,300000
3118,Ram Briksh,MEHNAGAR (SC),CPI(M),1,12th Pass,744967,0
3119,Ram Chandar,LALGANJ (SC),IND,4,5th Pass,2852000,45000
3120,Ram Chandra,KHAJANI (SC),Jan Adhikar Party,0,10th Pass,1317000,0
3121,Ram Chandra Yadav,RUDAULI,BJP,3,12th Pass,9668014,4563900
3122,Ram Dayal,PRATAPGARH,Bahujan Mukti Party,0,Graduate Professional,1405000,85000
3123,Ram Dev,KORAON (SC),SP,0,Literate,2939000,0
3124,Ram Dular Pathak,SULTANPUR,Sarv Sambhaav Party,0,Post Graduate,127348695,900000
3125,Ram Dular Singh,SAROJINI NAGAR,IND,0,8th Pass,218000,0
3126,Ram Dulare,GAINSARI,IND,0,12th Pass,1264000,50000
3127,Ram Feran,SHRAWASTI,BJP,0,12th Pass,60000000,0
3128,Ram Gopal,ZAIDPUR (SC),SP,0,8th Pass,6115340,700000
3129,Ram Gopal,MATERA,IND,0,Illiterate,1409000,0
3130,Ram Govind Chaudhari,BANSDIH,SP,0,Graduate Professional,16000107,0
3131,Ram Gyan,HARRAIYA,IND,0,8th Pass,15000,0
3132,Ram Iqbal,RASARA,BJP,5,Graduate Professional,39546150,13209183
3133,Ram Janak,BIKAPUR,Moulik Adhikar Party,0,12th Pass,338550,0
3134,Ram Janam,RASARA,NCP,0,10th Pass,8390000,0
3135,Ram Ji,AMETHI,BSP,0,12th Pass,26976553,936094
3136,Ram Kailash,PRATAPPUR,IND,0,Post Graduate,144893,0
3137,Ram Kali,CHHARRA,IND,0,Not Given,3500000,0
3138,Ram Karan,KIDWAI NAGAR,Bhartiya Shakti Chetna Party,1,Graduate Professional,3048245,577668
3139,Ram Keval,KADIPUR (SC),IND,0,Not Given,30000,0
3140,Ram Khelavan,NARAINI (SC),Bahujan Mukti Party,0,Post Graduate,1315000,4000
3141,Ram Khelawan,NIGHASAN,Pichhravarg Mahapanchayat Part,0,Literate,174809,0
3142,Ram Khiladi Singh,GUNNAUR,SP,0,Graduate Professional,27676847,1812000
3143,Ram Khilavan,UTRAULA,IND,0,10th Pass,635000,0
3144,Ram Kishan Raikwar,JHANSI NAGAR,IND,0,Post Graduate,3359084,0
3145,Ram Kishor,KURSI,Dr. Bhimrao Ambedkar Dal,0,8th Pass,850000,0
3146,Ram Kishore,ALIGANJ,Mahan Dal,21,10th Pass,19569576,7090487
3147,Ram Kishun Singh,PHULPUR,IND,0,Post Graduate,1119717,0
3148,Ram Kripal,KORAON (SC),INC,2,Graduate,3480999,100000
