Constituency,Candidate,Party,Votes
Uttarakhand - Rajpur Road,MANOJ KUMAR,Uttarakhand Kranti Dal,297
Uttarakhand - Rajpur Road,T C BHARTI,Independent,228
Uttarakhand - Rajpur Road,HARI CHAND,Bhartiya Sarvodaya Party,125
Uttarakhand - Rajpur Road,SANDEEP KUMAR PAL,UTTARAKHAND PARIVARTAN PARTY,99
Uttarakhand - Rajpur Road,None of the Above,None of the Above,697
Uttarakhand - Dehradun Cantt.,SHRI HARBANS KAPOOR,Bharatiya Janata Party,41142
Uttarakhand - Dehradun Cantt.,SHRI SURYAKANT DHASMANA,Indian National Congress,24472
Uttarakhand - Dehradun Cantt.,SHRI ANOOP NAUTIYAL,Independent,3285
Uttarakhand - Dehradun Cantt.,SHRI NAVEEN BISHT,Independent,1303
Uttarakhand - Dehradun Cantt.,SHRI DEVENDRA KUMAR,Bahujan Samaj Party,802
Uttarakhand - Dehradun Cantt.,KUNWAR JAPENDRA SINGH UTTARAKHANDI,Rashtriya Lok Dal,325
Uttarakhand - Dehradun Cantt.,SHRI LAXMAN SINGH NEGI ( ANIL NEGI),Nationalist Congress Party,283
Uttarakhand - Dehradun Cantt.,SHRI KAPIL BHATIA,Independent,159
Uttarakhand - Dehradun Cantt.,SHRI SANJAY GOYAL,Independent,149
Uttarakhand - Dehradun Cantt.,DR. R.K. PATHAK,Samajwadi Party,110
Uttarakhand - Dehradun Cantt.,SHRI SRIBILASH,Uttarakhand Kranti Dal,103
Uttarakhand - Dehradun Cantt.,SHRI ARUN KHANNA,Independent,64
Uttarakhand - Dehradun Cantt.,None of the Above,None of the Above,641
Uttarakhand - Mussoorie,GANESH JOSHI,Bharatiya Janata Party,41322
Uttarakhand - Mussoorie,GODAWARI THAPLI,Indian National Congress,29245
Uttarakhand - Mussoorie,RAJKUMAR JAISWAL,Independent,1692
Uttarakhand - Mussoorie,ASHOK PANWAR,Bahujan Samaj Party,862
Uttarakhand - Mussoorie,JAI PRAKASH UPADHYAY,Uttarakhand Kranti Dal,471
Uttarakhand - Mussoorie,SANJAY KUNDALIYA,Independent,404
Uttarakhand - Mussoorie,ANIRUDDHA SHARMA,Uttarakhand Kranti Dal (Democratic),253
Uttarakhand - Mussoorie,SUSHIL KUMAR MALHOTRA,Independent,212
Uttarakhand - Mussoorie,SARIKA PRADHAN,Independent,163
Uttarakhand - Mussoorie,GYANVEER TYAGI,UTTARAKHAND PARIVARTAN PARTY,137
Uttarakhand - Mussoorie,CAROL ALICK ROGERS,Independent,104
Uttarakhand - Mussoorie,YESHVEER ARYA,Independent,73
Uttarakhand - Mussoorie,None of the Above,None of the Above,634
Uttarakhand - Doiwala,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,58502
Uttarakhand - Doiwala,HIRA SINGH BISHT,Indian National Congress,33633
Uttarakhand - Doiwala,A.HAMEED,Bahujan Samaj Party,1569
Uttarakhand - Doiwala,SUBHASH CHANDRA PUROHIT,Uttarakhand Kranti Dal,475
Uttarakhand - Doiwala,GAJENDRA SINGH,Bhartiya Sarvodaya Party,313
Uttarakhand - Doiwala,ARUN,Independent,304
Uttarakhand - Doiwala,USHA RANI,Independent,274
Uttarakhand - Doiwala,PRAKASH CHANDRA TIWARI,Independent,222
Uttarakhand - Doiwala,BALWENDRA SINGH NEGI,Uttarakhand Kranti Dal (Democratic),213
Uttarakhand - Doiwala,SURENDRA DUTT PETWAL,Hamari Janmanch Party,142
Uttarakhand - Doiwala,SHIKHA NEGI,Rashtriya Adarsh Party,128
Uttarakhand - Doiwala,None of the Above,None of the Above,994
Uttarakhand - Rishikesh,PREMCHAND AGGARWAL,Bharatiya Janata Party,45082
Uttarakhand - Rishikesh,RAJPAL SINGH KHAROLA,Indian National Congress,30281
Uttarakhand - Rishikesh,SANDEEP GUPTA,Independent,17149
Uttarakhand - Rishikesh,LALLAN BHARDWAJ RAJBHAR,Bahujan Samaj Party,2866
Uttarakhand - Rishikesh,VIVEK TIWARI,Independent,889
Uttarakhand - Rishikesh,RAJENDRA PRASAD GAIROLA,Uttarakhand Kranti Dal,344
Uttarakhand - Rishikesh,VIJAYLAXMI GUSAIN,Independent,240
Uttarakhand - Rishikesh,MOHIT KUMAR,Independent,230
Uttarakhand - Rishikesh,GURUCHARAN,Nationalist Congress Party,217
Uttarakhand - Rishikesh,RAM KRISHANA TIWARI,Sarv Vikas Party,168
Uttarakhand - Rishikesh,USHA ASWAL,Independent,107
Uttarakhand - Rishikesh,None of the Above,None of the Above,775
Uttarakhand - Hardwar,MADAN KAUSHIK,Bharatiya Janata Party,61742
Uttarakhand - Hardwar,BRAHMSWROOP BRAHMCHARI,Indian National Congress,25815
Uttarakhand - Hardwar,ANJU MITTAL,Bahujan Samaj Party,2661
Uttarakhand - Hardwar,RAVISH BHATIJA,Independent,1571
Uttarakhand - Hardwar,RAJKUMAR AGGRWAL,Independent,364
Uttarakhand - Hardwar,ADESH,Uttarakhand Kranti Dal,329
Uttarakhand - Hardwar,VIJAY LAXMI,Independent,232
Uttarakhand - Hardwar,ADESH KUMAR,AARAKSHAN VIRODHI PARTY,125
Uttarakhand - Hardwar,MANOJ KUMAR SHARMA,Independent,78
Uttarakhand - Hardwar,None of the Above,None of the Above,632
Uttarakhand - B.H.E.L. ranipur,ADESH CHAUHAN,Bharatiya Janata Party,56644
Uttarakhand - B.H.E.L. ranipur,AMBRISH KUMAR,Indian National Congress,34404
Uttarakhand - B.H.E.L. ranipur,PRASHANT RAI,Bahujan Samaj Party,9971
Uttarakhand - B.H.E.L. ranipur,PITAMBAR DUTT BALUNI,Communist Party of India  (Marxist),322
Uttarakhand - B.H.E.L. ranipur,NAVEEN KAUSHIK,Samajwadi Party,282
Uttarakhand - B.H.E.L. ranipur,TIRATH PAL,Independent,253
Uttarakhand - B.H.E.L. ranipur,SANJAY KUMAR,Bahujan Mukti Party,211
Uttarakhand - B.H.E.L. ranipur,DHANESH KUMAR,Independent,204
Uttarakhand - B.H.E.L. ranipur,FAIZAN,Independent,187
Uttarakhand - B.H.E.L. ranipur,IRFAN ALI,Independent,161
Uttarakhand - B.H.E.L. ranipur,GULSHAN KHATRI,Independent,156
Uttarakhand - B.H.E.L. ranipur,TOUFEEQ AHMAD,Uttarakhand Kranti Dal,154
Uttarakhand - B.H.E.L. ranipur,UMESH CHANDR MISHRA,Independent,152
Uttarakhand - B.H.E.L. ranipur,PANKAJ KUMAR,Independent,98
Uttarakhand - B.H.E.L. ranipur,ANAND KUMAR VERMA,Bharatiya Momin Front,96
Uttarakhand - B.H.E.L. ranipur,None of the Above,None of the Above,517
Uttarakhand - Jwalapur,SURESH RATHOR,Bharatiya Janata Party,29513
Uttarakhand - Jwalapur,S.P.SINGH ENGINEER,Indian National Congress,24725
Uttarakhand - Jwalapur,MULKI RAJ,Bahujan Samaj Party,19483
Uttarakhand - Jwalapur,BRAJ RANI,Independent,9338
Uttarakhand - Jwalapur,SUBHASH CHANCHAL,Independent,1544
Uttarakhand - Jwalapur,MADAN LAL,Independent,1077
Uttarakhand - Jwalapur,ARVIND KUMAR,Independent,559
Uttarakhand - Jwalapur,None of the Above,None of the Above,638
Uttarakhand - Bhagwanpur,MAMTA RAKESH,Indian National Congress,44882
Uttarakhand - Bhagwanpur,SUBODH RAKESH,Bharatiya Janata Party,42369
Uttarakhand - Bhagwanpur,RAM KUMAR RANA,Bahujan Samaj Party,4069
Uttarakhand - Bhagwanpur,PREMPATI,Samajwadi Party,889
Uttarakhand - Bhagwanpur,BISHAMBER SINGH,Uttarakhand Kranti Dal,167
Uttarakhand - Bhagwanpur,ADESH KUMAR,Independent,154
Uttarakhand - Bhagwanpur,PREM SINGH,Independent,153
Uttarakhand - Bhagwanpur,SURENDRA KUMAR,Bahujan Mukti Party,119
Uttarakhand - Bhagwanpur,None of the Above,None of the Above,349
Uttarakhand - Jhabrera,DESRAJ KARANWAL,Bharatiya Janata Party,32146
Uttarakhand - Jhabrera,RAJPAL SINGH,Indian National Congress,29893
Uttarakhand - Jhabrera,BHAGAVAT SINGH,Bahujan Samaj Party,20468
Uttarakhand - Jhabrera,VIMLA,Samajwadi Party,470
Uttarakhand - Jhabrera,ATAR SINGH,Rashtriya Lok Dal,409
Uttarakhand - Jhabrera,MEMPAL,Independent,151
Uttarakhand - Jhabrera,TEJPAL SINGH,Bharat Kaumi Dal,149
Uttarakhand - Jhabrera,REETA,Independent,139
Uttarakhand - Jhabrera,KOMAL RANI,Independent,121
Uttarakhand - Jhabrera,HAV. HARPAL SINGH,Shivsena,96
Uttarakhand - Jhabrera,None of the Above,None of the Above,373
Uttarakhand - Pirankaliyar,FURKAN AHMAD,Indian National Congress,29243
Uttarakhand - Pirankaliyar,JAIBHAGWAN,Bharatiya Janata Party,27894
Uttarakhand - Pirankaliyar,SHAHZAD,Independent,23843
Uttarakhand - Pirankaliyar,RAO SAJID,Bahujan Samaj Party,6188
Uttarakhand - Pirankaliyar,NETRA PAL,Independent,1367
Uttarakhand - Pirankaliyar,MOTI LAL MAURYA,Independent,519
Uttarakhand - Pirankaliyar,MAHAK SINGH SAINI,Independent,329
Uttarakhand - Pirankaliyar,SAMEER ALVI,Independent,227
Uttarakhand - Pirankaliyar,AFZAL AHMED,Bhartiya Sarvodaya Party,215
Uttarakhand - Pirankaliyar,NITIN,Uttarakhand Kranti Dal,197
Uttarakhand - Pirankaliyar,SUSHMA,Independent,157
Uttarakhand - Pirankaliyar,None of the Above,None of the Above,350
Uttarakhand - Roorkee,PRADEEP BATRA,Bharatiya Janata Party,40000
Uttarakhand - Roorkee,SURESH CHAND JAIN,Indian National Congress,27458
Uttarakhand - Roorkee,RAM SUBHAG SINGH,Bahujan Samaj Party,3239
Uttarakhand - Roorkee,SUNITA SINGH,Samajwadi Party,918
Uttarakhand - Roorkee,ADESH KUMAR SHARMA,Uttarakhand Kranti Dal,169
Uttarakhand - Roorkee,SHARAD PANDEY,People‰Ûªs Party,72
Uttarakhand - Roorkee,YUDHVIJAY SINGH,Independent,65
Uttarakhand - Roorkee,NARENDRA SINGH,Independent,43
Uttarakhand - Roorkee,None of the Above,None of the Above,303
Uttarakhand - Khanpur,KUNWAR PARNAV SINGH CHAMPION,Bharatiya Janata Party,53192
Uttarakhand - Khanpur,MUFTI RIYASAT ALI,Bahujan Samaj Party,39457
Uttarakhand - Khanpur,CHOUDHARY YASHVEER SINGH,Indian National Congress,6894
Uttarakhand - Khanpur,RAVINDER SINGH,Independent,4856
Uttarakhand - Khanpur,SUNIL,Independent,729
Uttarakhand - Khanpur,PALLAVI KUKRETI,Sainik Samaj Party,373
Uttarakhand - Khanpur,VIRENDER SINGH,Independent,338
Uttarakhand - Khanpur,SANJAY SINGH,Uttarakhand Kranti Dal,267
Uttarakhand - Khanpur,RISHIRAM,Independent,134
Uttarakhand - Khanpur,MOHD. ARSHAD,Independent,132
Uttarakhand - Khanpur,RAJVEER,Independent,115
Uttarakhand - Khanpur,PEHAL SINGH,Independent,82
Uttarakhand - Khanpur,ANIL KUMAR,Independent,42
Uttarakhand - Khanpur,None of the Above,None of the Above,523
Uttarakhand - Manglore,QAZI MOHD NIZAMUDDIN,Indian National Congress,31352
Uttarakhand - Manglore,SARWAT KAREEM ANSARI,Bahujan Samaj Party,28684
Uttarakhand - Manglore,RISHIPAL BALIYAN,Bharatiya Janata Party,16964
Uttarakhand - Manglore,LETESH KUMAR,Rashtriya Lok Dal,3265
Uttarakhand - Manglore,USHA,Independent,333
Uttarakhand - Manglore,SUNIL KUMAR,Bahujan Mukti Party,172
Uttarakhand - Manglore,UBERDUR RAHAMAN,Independent,143
Uttarakhand - Manglore,None of the Above,None of the Above,278
Uttarakhand - Laksar,SANJAY GUPTA,Bharatiya Janata Party,25248
Uttarakhand - Laksar,HAJI TASLEEM AHMAD,Indian National Congress,23644
Uttarakhand - Laksar,SUBHASH SINGH CHOUDHARY,Bahujan Samaj Party,19656
Uttarakhand - Laksar,KUSHALPAL SINGH,Independent,6087
Uttarakhand - Laksar,SUMIT,Independent,2415
Uttarakhand - Laksar,NARENDRA,Samajwadi Party,282
Uttarakhand - Laksar,RATENDRA TIWARI,Independent,199
Uttarakhand - Laksar,MEMPAL,Shivsena,96
Uttarakhand - Laksar,JULFUKAR ANSARI,Independent,94
Uttarakhand - Laksar,NIDHI SINGH,Independent,62
Uttarakhand - Laksar,None of the Above,None of the Above,287
Uttarakhand - Hardwar Rural,YATISHWARANAND,Bharatiya Janata Party,44964
Uttarakhand - Hardwar Rural,HARISH CHANDRA SINGH RAWAT,Indian National Congress,32686
Uttarakhand - Hardwar Rural,MUKARRAM,Bahujan Samaj Party,18383
Uttarakhand - Hardwar Rural,SUBASH CHAND,Uttarakhand Kranti Dal,514
Uttarakhand - Hardwar Rural,RENU NOTIYAL,Independent,339
Uttarakhand - Hardwar Rural,VASIM AHMAD,Independent,334
Uttarakhand - Hardwar Rural,MUSTAFA,Independent,201
Uttarakhand - Hardwar Rural,NAGENDRA SINGH,Independent,147
Uttarakhand - Hardwar Rural,None of the Above,None of the Above,645
Uttarakhand - Yamkeshwar,RITU KHANDURI BHUSHAN,Bharatiya Janata Party,19671
Uttarakhand - Yamkeshwar,RENU BISHT,Independent,10689
Uttarakhand - Yamkeshwar,SHAILENDRA SINGH RAWAT,Indian National Congress,10283
Uttarakhand - Yamkeshwar,PRASHANT BADONI,Independent,2698
Uttarakhand - Yamkeshwar,SHANTI PRASAD BHATT,Uttarakhand Kranti Dal,542
Uttarakhand - Yamkeshwar,JAGPAL SINGH NEGI,Bahujan Samaj Party,375
Uttarakhand - Yamkeshwar,KIRSHAN CHANDRA,Independent,250
Uttarakhand - Yamkeshwar,(BRIG) GOVIND PRASAD BARTHWAL,Independent,235
Uttarakhand - Yamkeshwar,None of the Above,None of the Above,988
Uttarakhand - Pauri,MUKESH SINGH KOLI,Bharatiya Janata Party,26469
Uttarakhand - Pauri,NAVAL KISHOR,Indian National Congress,19439
Uttarakhand - Pauri,HARI KUMAR,Independent,593
Uttarakhand - Pauri,RAMESH CHANDER,Bahujan Samaj Party,364
Uttarakhand - Pauri,VIR PRATAP SINGH,Uttarakhand Kranti Dal,323
Uttarakhand - Pauri,DEVAKI NANDAN SHAH,Independent,282
Uttarakhand - Pauri,ANIL KUMAR,Uttarakhand Kranti Dal (Democratic),184
Uttarakhand - Pauri,VIJAY SINGH,Independent,153
Uttarakhand - Pauri,MANOHAR LAL PAHARI,Uttarakhand Raksha Morcha,151
Uttarakhand - Pauri,None of the Above,None of the Above,693
Uttarakhand - Srinagar,DR. DHAN SINGH RAWAT,Bharatiya Janata Party,30816
Uttarakhand - Srinagar,GANESH GODIYAL,Indian National Congress,22118
Uttarakhand - Srinagar,MOHAN PRASAD KALA,Independent,4854
Uttarakhand - Srinagar,NAVEEN PRAKASH NAUTIYAL,Independent,608
Uttarakhand - Srinagar,GANESH PRASAD,Bahujan Samaj Party,532
Uttarakhand - Srinagar,DHIRENDRA SINGH BISHT,Uttarakhand Kranti Dal,516
Uttarakhand - Srinagar,None of the Above,None of the Above,697
Uttarakhand - Chaubattakhal,SATPAL MAHARAJ,Bharatiya Janata Party,20921
Uttarakhand - Chaubattakhal,RAJPAL SINGH BISHT,Indian National Congress,13567
Uttarakhand - Chaubattakhal,SUNDER SINGH CHAUHAN,Independent,2545
Uttarakhand - Chaubattakhal,KAVINDER ISTWAL,Independent,2339
Uttarakhand - Chaubattakhal,SATENDRA SINGH,Independent,965
Uttarakhand - Chaubattakhal,NANDAN SINGH RAWAT,Independent,433
Uttarakhand - Chaubattakhal,RAMENDRA SINGH BHANDARI,Independent,323
Uttarakhand - Chaubattakhal,ANU PANT,Uttarakhand Kranti Dal (Democratic),316
Uttarakhand - Chaubattakhal,MANJU RAWAT,Independent,241
Uttarakhand - Chaubattakhal,POONAM KAINTURA,Prajamandal Party,212
Uttarakhand - Chaubattakhal,BHARTENDU,Bahujan Samaj Party,211
Uttarakhand - Chaubattakhal,SUBODH POKHRIYAL,Uttarakhand Kranti Dal,196
Uttarakhand - Chaubattakhal,SUSHIL CHANDRA,Rashtriya Adarsh Party,162
Uttarakhand - Chaubattakhal,PREM SUNDRIYAL,UTTARAKHAND PARIVARTAN PARTY,121
Uttarakhand - Chaubattakhal,CHNDRA MOHAN MUNDEPI,Samajwadi Party,88
Uttarakhand - Chaubattakhal,None of the Above,None of the Above,210
Uttarakhand - Lansdowne,DALEEP SINGH RAWAT,Bharatiya Janata Party,22246
Uttarakhand - Lansdowne,LT. GEN(RETD) TEJPAL SINGH RAWAT  P.V.S.M  V.S.M,Indian National Congress,15771
Uttarakhand - Lansdowne,VIKRAM SINGH RAWAT,Uttarakhand Kranti Dal,450
Uttarakhand - Lansdowne,VED PRAKASH ARYA,Independent,434
Uttarakhand - Lansdowne,JAGMOHAN SINGH BISHT,Independent,226
Uttarakhand - Lansdowne,MANISH SUNDRIYAL,Independent,164
Uttarakhand - Lansdowne,None of the Above,None of the Above,485
Uttarakhand - Kotdwar,(DR) HARAK SINGH RAWAT,Bharatiya Janata Party,39859
Uttarakhand - Kotdwar,SURENDRA SINGH NEGI,Indian National Congress,28541
Uttarakhand - Kotdwar,RENU AGARWAL,Bahujan Samaj Party,764
Uttarakhand - Kotdwar,(DR) DINESH,UTTARAKHAND PARIVARTAN PARTY,355
Uttarakhand - Kotdwar,SUDHIR KUMAR BAHUGUNA,Independent,267
Uttarakhand - Kotdwar,SUDHA PATWAL,Independent,266
Uttarakhand - Kotdwar,HARISH CHANDER DWIVEDI,Uttarakhand Kranti Dal,168
Uttarakhand - Kotdwar,SHAMMI KAPOOR,Independent,138
Uttarakhand - Kotdwar,SHYAM LAL,Independent,137
Uttarakhand - Kotdwar,ANOOP THAPLIYAL,Independent,68
Uttarakhand - Kotdwar,MAHITAB SINGH RAWAT,Independent,64
Uttarakhand - Kotdwar,None of the Above,None of the Above,459
Uttarakhand - Dharchula,HARISH SINGH,Indian National Congress,25597
Uttarakhand - Dharchula,VIRENDRA SINGH PAL,Bharatiya Janata Party,22512
Uttarakhand - Dharchula,DURGA PRASHAD,Independent,2717
Uttarakhand - Dharchula,LAL SINGH,Uttarakhand Kranti Dal,883
Uttarakhand - Dharchula,DEVINDRA SINGH,Independent,631
Uttarakhand - Dharchula,VIRENDRA SINGH,Independent,540
Uttarakhand - Dharchula,JITENDRA KUMAR,Bahujan Samaj Party,445
Uttarakhand - Dharchula,None of the Above,None of the Above,500
Uttarakhand - Didihat,VISHAN SINGH,Bharatiya Janata Party,17392
Uttarakhand - Didihat,KISHAN  BHANDARI,Independent,15024
Uttarakhand - Didihat,PRADEEP SINGH PAL,Indian National Congress,14470
Uttarakhand - Didihat,KASHI SINGH AIRY,Uttarakhand Kranti Dal,2896
Uttarakhand - Didihat,HAR GOVIND PANT,Bahujan Samaj Party,631
Uttarakhand - Didihat,BIKRANT PANDAY,Independent,520
Uttarakhand - Didihat,None of the Above,None of the Above,737
Uttarakhand - Pithoragarh,PRAKASH PANT,Bharatiya Janata Party,32941
Uttarakhand - Pithoragarh,MAYUKH MAHAR,Indian National Congress,30257
Uttarakhand - Pithoragarh,LALIT MOHAN BHATT,Independent,613
Uttarakhand - Pithoragarh,MAHENDRA SINGH,Independent,529
Uttarakhand - Pithoragarh,RAGHUVAR RAM,Bahujan Samaj Party,519
Uttarakhand - Pithoragarh,SUSHMA MATHUR,Uttarakhand Kranti Dal,304
Uttarakhand - Pithoragarh,MANOJ KUMAR JOSHI,Independent,126
Uttarakhand - Pithoragarh,KRISHNANAND KAPRI,Independent,111
Uttarakhand - Pithoragarh,RAMESH BISHT,Samajwadi Party,108
Uttarakhand - Pithoragarh,GULAJAR,Independent,78
Uttarakhand - Pithoragarh,None of the Above,None of the Above,1072
Uttarakhand - Gangolihat,MEENA GANGOLA,Bharatiya Janata Party,20418
Uttarakhand - Gangolihat,NARAYAN RAM ARYA,Indian National Congress,19613
Uttarakhand - Gangolihat,KHAJAN CHANDRA,Independent,10763
Uttarakhand - Gangolihat,DINESH KUMAR,Bahujan Sangharshh Dal,958
Uttarakhand - Gangolihat,SUMITRA DEVI,Independent,841
Uttarakhand - Gangolihat,DEEPAK KUMAR,Bahujan Samaj Party,668
Uttarakhand - Gangolihat,HARISH PRASAD,Uttarakhand Kranti Dal,550
Uttarakhand - Gangolihat,None of the Above,None of the Above,865
Uttarakhand - Kapkot,BALWANT SINGH BHOURIYAL,Bharatiya Janata Party,27213
Uttarakhand - Kapkot,LALIT FARSWAN,Indian National Congress,21231
Uttarakhand - Kapkot,BHOOPESH UPADHYAY,Bahujan Samaj Party,6964
Uttarakhand - Kapkot,BHAGWAT SINGH DASILA,Independent,1242
Uttarakhand - Kapkot,RAM SINGH AITHANI,Uttarakhand Kranti Dal,951
Uttarakhand - Kapkot,DAYAL SINGH KAPKOTI,Independent,641
Uttarakhand - Kapkot,GOVIND LAL,Independent,220
Uttarakhand - Kapkot,KARAM SINGH DANU,Independent,196
Uttarakhand - Kapkot,None of the Above,None of the Above,1116
Uttarakhand - Bageshwar,CHANDAN RAM DASS,Bharatiya Janata Party,33792
Uttarakhand - Bageshwar,BALKRISHAN,Indian National Congress,19225
Uttarakhand - Bageshwar,BASANT KUMAR,Bahujan Samaj Party,11038
Uttarakhand - Bageshwar,JEEVAN LAL,Uttarakhand Kranti Dal,1207
Uttarakhand - Bageshwar,BACHI LAL,Independent,676
Uttarakhand - Bageshwar,None of the Above,None of the Above,1541
Uttarakhand - Dwarahat,MAHESH SINGH NEGI,Bharatiya Janata Party,20221
Uttarakhand - Dwarahat,MADAN SINGH BISHT,Indian National Congress,13628
Uttarakhand - Dwarahat,PUSHPESH TRIPATHI,Uttarakhand Kranti Dal,6581
Uttarakhand - Dwarahat,KUBER SINGH KATHAYAT,Independent,2126
Uttarakhand - Dwarahat,BHUPAL SINGH ALIAS PAPPU BHANDARI,Independent,1196
Uttarakhand - Dwarahat,GIRISH CHAUDHARY,Bahujan Samaj Party,830
Uttarakhand - Dwarahat,NANDAN GIRI,Independent,776
Uttarakhand - Dwarahat,KUNDAN SINGH RAWAT,Bharat Ki Lok Jimmedar Party,503
Uttarakhand - Dwarahat,JAY PRAKASH KANDPAL,Independent,342
Uttarakhand - Dwarahat,None of the Above,None of the Above,597
Uttarakhand - Salt,SURENDER SINGH JEENA,Bharatiya Janata Party,21581
Uttarakhand - Salt,GANGA PANCHOLI,Indian National Congress,18677
Uttarakhand - Salt,BHUVAN JOSHI,Independent,669
Uttarakhand - Salt,BHOLE SHANKAR,Bahujan Samaj Party,664
Uttarakhand - Salt,GANGA DEVI,Uttarakhand Kranti Dal (Democratic),459
Uttarakhand - Salt,NARAYAN SINGH,UTTARAKHAND PARIVARTAN PARTY,268
Uttarakhand - Salt,MAHIPAL SINGH,Independent,262
Uttarakhand - Salt,RAKESH SINGH BISHT,Uttarakhand Kranti Dal,187
Uttarakhand - Salt,BHAGAWAT SINGH,Independent,184
Uttarakhand - Salt,KUBER SINGH MANRAL,Independent,132
Uttarakhand - Salt,None of the Above,None of the Above,812
Uttarakhand - Ranikhet,KARAN  MAHARA,Indian National Congress,19035
Uttarakhand - Ranikhet,AJAY BHATT,Bharatiya Janata Party,14054
Uttarakhand - Ranikhet,PRAMOD NAINWAL,Independent,5701
Uttarakhand - Ranikhet,KRIPAL RAM,Bahujan Samaj Party,1169
Uttarakhand - Ranikhet,PRATAP SINGH SHAHI,Uttarakhand Kranti Dal,414
Uttarakhand - Ranikhet,None of the Above,None of the Above,637
Uttarakhand - Someshwar (s.c.),REKHA ARYA,Bharatiya Janata Party,21780
Uttarakhand - Someshwar (s.c.),RAJENDRA BARAKOTI,Indian National Congress,21070
Uttarakhand - Someshwar (s.c.),PRADEEP KUMAR ARYA,Independent,841
Uttarakhand - Someshwar (s.c.),HIMANSHU KOHLI,Bahujan Samaj Party,622
Uttarakhand - Someshwar (s.c.),PURAN CHANDRA,Independent,263
Uttarakhand - Someshwar (s.c.),CHANDRA PRAKASH ARYA,Independent,218
Uttarakhand - Someshwar (s.c.),None of the Above,None of the Above,1089
Uttarakhand - Almora,RAGHUNATH SINGH CHAUHAN,Bharatiya Janata Party,26464
Uttarakhand - Almora,MANOJ TEWARI,Indian National Congress,21085
Uttarakhand - Almora,DR.SANJAY TAMTA,Bahujan Samaj Party,1654
